Date,Order,Symbol,Shares
2008-01-02,SELL,JPM,1000.0
2008-01-04,BUY,JPM,2000.0
2008-01-07,SELL,JPM,2000.0
2008-01-08,BUY,JPM,2000.0
2008-01-10,SELL,JPM,2000.0
2008-01-11,BUY,JPM,2000.0
2008-01-14,SELL,JPM,2000.0
2008-01-15,BUY,JPM,2000.0
2008-01-16,SELL,JPM,2000.0
2008-01-18,BUY,JPM,2000.0
2008-01-23,SELL,JPM,2000.0
2008-01-25,BUY,JPM,2000.0
2008-01-29,SELL,JPM,2000.0
2008-01-30,BUY,JPM,2000.0
2008-02-01,SELL,JPM,2000.0
2008-02-06,BUY,JPM,2000.0
2008-02-07,SELL,JPM,2000.0
2008-02-12,BUY,JPM,2000.0
2008-02-13,SELL,JPM,2000.0
2008-02-14,BUY,JPM,2000.0
2008-02-15,SELL,JPM,2000.0
2008-02-19,BUY,JPM,2000.0
2008-02-20,SELL,JPM,2000.0
2008-02-21,BUY,JPM,2000.0
2008-02-25,SELL,JPM,2000.0
2008-02-26,BUY,JPM,2000.0
2008-02-27,SELL,JPM,2000.0
2008-03-06,BUY,JPM,2000.0
2008-03-07,SELL,JPM,2000.0
2008-03-10,BUY,JPM,2000.0
2008-03-11,SELL,JPM,2000.0
2008-03-14,BUY,JPM,2000.0
2008-03-18,SELL,JPM,2000.0
2008-03-19,BUY,JPM,2000.0
2008-03-24,SELL,JPM,2000.0
2008-03-28,BUY,JPM,2000.0
2008-04-01,SELL,JPM,2000.0
2008-04-02,BUY,JPM,2000.0
2008-04-03,SELL,JPM,2000.0
2008-04-14,BUY,JPM,2000.0
2008-04-18,SELL,JPM,2000.0
2008-04-21,BUY,JPM,2000.0
2008-04-22,SELL,JPM,2000.0
2008-04-23,BUY,JPM,2000.0
2008-04-25,SELL,JPM,2000.0
2008-04-29,BUY,JPM,2000.0
2008-05-01,SELL,JPM,2000.0
2008-05-05,BUY,JPM,2000.0
2008-05-06,SELL,JPM,2000.0
2008-05-08,BUY,JPM,2000.0
2008-05-12,SELL,JPM,2000.0
2008-05-13,BUY,JPM,2000.0
2008-05-15,SELL,JPM,2000.0
2008-05-21,BUY,JPM,2000.0
2008-05-22,SELL,JPM,2000.0
2008-05-23,BUY,JPM,2000.0
2008-05-27,SELL,JPM,2000.0
2008-05-28,BUY,JPM,2000.0
2008-05-29,SELL,JPM,2000.0
2008-06-04,BUY,JPM,2000.0
2008-06-05,SELL,JPM,2000.0
2008-06-09,BUY,JPM,2000.0
2008-06-10,SELL,JPM,2000.0
2008-06-11,BUY,JPM,2000.0
2008-06-16,SELL,JPM,2000.0
2008-06-23,BUY,JPM,2000.0
2008-06-25,SELL,JPM,2000.0
2008-06-30,BUY,JPM,2000.0
2008-07-03,SELL,JPM,2000.0
2008-07-07,BUY,JPM,2000.0
2008-07-08,SELL,JPM,2000.0
2008-07-09,BUY,JPM,2000.0
2008-07-10,SELL,JPM,2000.0
2008-07-15,BUY,JPM,2000.0
2008-07-17,SELL,JPM,2000.0
2008-07-21,BUY,JPM,2000.0
2008-07-23,SELL,JPM,2000.0
2008-07-24,BUY,JPM,2000.0
2008-07-25,SELL,JPM,2000.0
2008-07-28,BUY,JPM,2000.0
2008-07-30,SELL,JPM,2000.0
2008-07-31,BUY,JPM,2000.0
2008-08-01,SELL,JPM,2000.0
2008-08-04,BUY,JPM,2000.0
2008-08-05,SELL,JPM,2000.0
2008-08-07,BUY,JPM,2000.0
2008-08-11,SELL,JPM,2000.0
2008-08-13,BUY,JPM,2000.0
2008-08-15,SELL,JPM,2000.0
2008-08-19,BUY,JPM,2000.0
2008-08-20,SELL,JPM,2000.0
2008-08-21,BUY,JPM,2000.0
2008-08-22,SELL,JPM,2000.0
2008-08-25,BUY,JPM,2000.0
2008-08-28,SELL,JPM,2000.0
2008-08-29,BUY,JPM,2000.0
2008-09-03,SELL,JPM,2000.0
2008-09-04,BUY,JPM,2000.0
2008-09-08,SELL,JPM,2000.0
2008-09-10,BUY,JPM,2000.0
2008-09-11,SELL,JPM,2000.0
2008-09-15,BUY,JPM,2000.0
2008-09-16,SELL,JPM,2000.0
